 ; ; ; ; No layers ; ; ; ; Layers ; ; ;
Model ; L ; X ; P ; d ; m ; c ; s ; t ; d ; m ; c ; s ; t
BRP ; 22 ; 7 ; 2 ;20 ; 12 ; 28 ; 6426 ; TO ; 20 ; 16 ; 12 ; 5923 ; TO
coffee ; 4 ; 2 ; 3 ;2440 ; 4 ; 6 ; 299325 ; TO ; 2320 ; 4 ; 1 ; 271281 ; TO
critical-region ; 20 ; 2 ; 2 ;4 ; 3 ; 2 ; 6 ; 0.006 ; 3 ; 3 ; 1 ; 4 ; 0.005
critical-region4 ; 38 ; 4 ; 2 ;10 ; 7 ; 2 ; 16 ; 0.026 ; 7 ; 7 ; 1 ; 8 ; 0.019
F3 ; 18 ; 3 ; 0 ;0 ; 0 ; 1 ; 1 ; 0.003 ; 0 ; 0 ; 1 ; 1 ; 0.003
F4 ; 23 ; 4 ; 2 ;0 ; 0 ; 1 ; 1 ; 0.003 ; 0 ; 0 ; 1 ; 1 ; 0.003
FDDI4 ; 34 ; 13 ; 2 ;70 ; 32 ; 2 ; 1560 ; 2.077 ; 70 ; 38 ; 2 ; 2538 ; 3.716
FischerAHV93 ; 13 ; 2 ; 4 ;4 ; 3 ; 1 ; 11 ; 0.007 ; 4 ; 3 ; 1 ; 11 ; 0.007
flipflop ; 49 ; 5 ; 2 ;7 ; 5 ; 6 ; 18 ; 0.014 ; 7 ; 7 ; 1 ; 8 ; 0.008
fmtv1A1-v2 ; 15 ; 3 ; 3 ;30 ; 13 ; 60 ; 8619 ; TO ; 29 ; 13 ; 55 ; 10799 ; 58.297
fmtv1A3-v2 ; 15 ; 3 ; 3 ;20 ; 13 ; 22 ; 12340 ; TO ; 30 ; 13 ; 19 ; 15545 ; TO
JLR-TACAS13 ; 2 ; 2 ; 2 ;1250 ; 1 ; 1250 ; 81331 ; TO ; 2550 ; 1 ; 256 ; 328648 ; TO
lynch ; 18 ; 2 ; 1 ;3 ; 3 ; 1 ; 4 ; 0.004 ; 3 ; 3 ; 1 ; 4 ; 0.004
lynch5 ; 45 ; 5 ; 1 ;7 ; 7 ; 1 ; 19 ; 0.017 ; 7 ; 7 ; 1 ; 19 ; 0.018
Pipeline-KP12-2-3 ; 14 ; 4 ; 6 ;20 ; --- ; 0 ; 2103 ; TO ; 20 ; --- ; 0 ; 2046 ; TO
Pipeline-KP12-2-5 ; 18 ; 4 ; 6 ;20 ; --- ; 0 ; 4391 ; TO ; 20 ; --- ; 0 ; 2223 ; TO
Pipeline-KP12-3-3 ; 19 ; 5 ; 6 ;20 ; --- ; 0 ; 3425 ; TO ; 20 ; --- ; 0 ; 2545 ; TO
RCP ; 48 ; 6 ; 5 ;10 ; 8 ; 6 ; 146 ; 0.262 ; 10 ; 10 ; 1 ; 49 ; 0.069
Sched2.100.0 ; 17 ; 6 ; 2 ;104 ; 2 ; 10 ; 3966 ; 3.875 ; 174 ; 7 ; 3 ; 6414 ; 6.505
Sched2.100.2 ; 17 ; 6 ; 2 ;140 ; 2 ; 14 ; 16112 ; TO ; 130 ; 7 ; 7 ; 13460 ; TO
Sched2.50.0 ; 17 ; 6 ; 2 ;104 ; 6 ; 9 ; 3244 ; 2.782 ; 152 ; 7 ; 3 ; 4582 ; 4.112
Sched2.50.2 ; 17 ; 6 ; 2 ;140 ; 6 ; 12 ; 14881 ; TO ; 140 ; 7 ; 6 ; 14280 ; TO
simop ; 46 ; 8 ; 2 ;30 ; 20 ; 59 ; 12841 ; TO ; 30 ; 13 ; 97 ; 12750 ; TO
spsmall ; 52 ; 11 ; 2 ;34 ; 25 ; 142 ; 5179 ; 8.368 ; 34 ; 25 ; 142 ; 5201 ; 8.435
tgcTogether2 ; 12 ; 3 ; 6 ;18 ; 13 ; 4 ; 134 ; 0.113 ; 14 ; 13 ; 2 ; 124 ; 0.125
WFAS-BBLS15-det ; 10 ; 4 ; 2 ;2600 ; 3 ; 12 ; 340533 ; TO ; 2290 ; 4 ; 13 ; 265057 ; TO
